Stredná odborná škola,Košický,Košice-Juh,"SOŠ technická - Košice, Kukučínova",Kukučínova 23,80.5
Stredná odborná škola,Košický,Košice-Šaca,"SOŠ - Košice, Učňovská",Učňovská 5,41.6
Stredná odborná škola,Košický,Rožňava,"SOŠ technická - Rožňava, Hviezdoslavova",Hviezdoslavova 5,43
Stredná odborná škola,Košický,Veľké Kapušany,"SOŠ - V.Kapušany, Janka Kráľa",Janka Kráľa 25,16.8
Špeciálna základná škola,Košický,Moldava nad Bodvou,"SŠ - ŠZŠ - Moldava n.B., Hlavná",Hlavná 53,22.7
Základná škola,Košický,Slanec,"ZŠ s MŠ - Slanec, Hlavná",Hlavná 320/79,17.2
Základná škola,Košický,Kuzmice,"ZŠ s MŠ - Kuzmice, Hlavná",Hlavná 267,19.8
Základná škola,Košický,Sečovce,"ZŠ - Sečovce, Komenského",Komenského 707/4,36
Odborné učilište internátne,Košický,Trebišov,"SŠ int.- OUint - Trebišov, Poľná",Poľná 1,32.8
Gymnázium,Košický,Košice-Staré Mesto,"Gymn. sv. T. Akvinského - Košice, Zbrojničná",Zbrojničná 3,38.2
Stredná odborná škola,Košický,Michalovce,"SOŠ OaSl - Michalovce, Školská",Školská 4,53.4
Stredná odborná škola,Košický,Košice-Juh,"SOŠ automobilová - Košice, Moldavská c.",Moldavská cesta 2,58
Stredná odborná škola,Košický,Košice-Juh,"SOŠ - Košice, Gemerská",Gemerská 1,42.7
Stredná odborná škola,Košický,Spišská Nová Ves,"SOŠ - Spiš.N.V., Markušovská c.",Markušovská cesta 4,68.3
Hotelová akadémia,Košický,Spišská Nová Ves,"HA - Spiš.N.V., Radničné nám.",Radničné námestie 1,36
Základná škola,Košický,Košice-Západ,"ZŠ sv. Cyrila a Metoda - Košice, Bernolákova",Bernolákova 18,38.7
Základná škola,Košický,Spišská Nová Ves,"ZŠ sv. Cyrila a Metoda - Spiš.N.V., Markušovská c.",Markušovská cesta 8,23.7
Základná škola,Košický,Michalovce,"ZŠ - Michalovce, T.J.Moussona",T. J. Moussona 4,30.6
