Stredná odborná škola,Bratislavský,Modra,"SOŠ vinársko-ovocinár. - Modra, Kostolná",Kostolná 3,14
Stredná pedagogická škola,Bratislavský,Modra,"PaKA - Modra, Sokolská",Sokolská 6,21.1
Stredná odborná škola,Bratislavský,Pezinok,"Stred. odborná škola - Pezinok, Komenského",Komenského 27,14.1
Gymnázium,Bratislavský,Bratislava-Dúbravka,"Gymnázium - Bratislava, Bilíkova",Bilíkova 24,59.1
Gymnázium,Bratislavský,Bratislava-Petržalka,"Gymnázium A. Einsteina - Bratislava, Einsteinova",Einsteinova 35,31
Gymnázium,Bratislavský,Bratislava-Ružinov,"Gymnázium L.Novomeského - Bratislava, Tomášikova",Tomášikova 2,39.8
SOŠ pre sluchovo postihn.int.,Bratislavský,Bratislava-Ružinov,"SOŠ pre žiak. so SP - Bratislava, Koceľova",Koceľova 26,22.5
Hud. a dram. konzervatórium,Bratislavský,Bratislava-Staré Mesto,"Konz. - Bratislava, Tolstého",Tolstého 11,132.6
Stredná zdravotnícka škola,Bratislavský,Bratislava-Ružinov,"SZŠ - Bratislava, Záhradnícka",Záhradnícka 44,39.1
Stredná odborná škola,Bratislavský,Bratislava-Ružinov,"Súkr. SOŠ - Bratislava, Exnárova",Exnárova 20,39.8
Základná škola,Bratislavský,Bratislava-Staré Mesto,"ZŠ sv.Uršule - Bratislava, Nedbalova",Nedbalova 4,15
Stredná odborná škola,Bratislavský,Bratislava-Dev. Nová Ves,"SOŠ - Bratislava, J.Jonáša",Jána Jonáša 5,27.6
Stredná odborná škola,Bratislavský,Bratislava-Vajnory,"SOŠ elektrotechnická - Bratislava, Rybničná",Rybničná 59,14.8
Stredná odborná škola,Bratislavský,Bratislava-Ružinov,"SOŠ obch.a služieb - Bratislava, Sklenárova",Sklenárova 1,22.1
Stredná odborná škola,Bratislavský,Bratislava-Rača,"SOŠ - HSaO - Bratislava, Na pántoch",Na pántoch 9,36
Stredná odborná škola,Bratislavský,Bratislava-Nové Mesto,"SOŠ polygrafická - Bratislava, Račianska",Račianska 190,42.3
Gymnázium,Bratislavský,Modra,"Gymnázium K. Štúra - Modra, Nám.slobody",Nám. slobody 5,21.4
Gymnázium,Bratislavský,Pezinok,"Gymnázium - Pezinok, Senecká",Senecká 2,28
Stredná odborná škola,Bratislavský,Bratislava-Petržalka,"SOŠ technická - Bratislava, Vranovská",Vranovská 4,10.1
Stredná odborná škola,Bratislavský,Bratislava-Ružinov,"Stred. odborná škola - Bratislava, Svätoplukova",Svätoplukova 2,40.1
Stredná odborná škola,Bratislavský,Bratislava-Petržalka,"SOŠ - Bratislava, Farského",Farského 9,41
Stredná odborná škola,Bratislavský,Bratislava-Rača,"SOŠ-IT - Bratislava, Hlinícka",Hlinícka 1,19.5
Stredná odborná škola,Bratislavský,Bratislava-Nové Mesto,"SOŠ - Bratislava, Račianska",Račianska 105,30.3
Stredná umelecká škola,Bratislavský,Bratislava-Ružinov,"SUŠ scénic.vytvarníctva - Bratislava, Sklenárova",Sklenárova 7,47.4
Gymnázium,Bratislavský,Bratislava-Staré Mesto,"Gymnázium Matky Alexie - Bratislava, Jesenského 4/A",Jesenského 4/A,31
Základná škola,Bratislavský,Bratislava-Staré Mesto,"ZŠ Matky Alexie - Bratislava, Palackého",Palackého 1,28.1
ZŠ pre sluchovo postihnutých i,Bratislavský,Bratislava-Nové Mesto,"SŠ - ZŠ sluch.pos.-int. - Bratislava, Hrdličkova",Hrdličkova 17,22
Stredná priemyselná škola,Bratislavský,Bratislava-Dúbravka,"SPŠ elektrotechnická - Bratislava, Karola Adlera",Karola Adlera 5,37
Gymnázium,Bratislavský,Bratislava-Ružinov,"1. Súkr. Gymnázium - Bratislava, Bajkalská",Bajkalská 20,34.3
Gymnázium,Bratislavský,Bratislava-Petržalka,"Ev. lýceum - Bratislava, Vranovská",Vranovská 2,38.4
Základná škola,Bratislavský,Bratislava-Staré Mesto,"Evanjelická ZŠ - Bratislava, Palisády",Palisády 57,11.4
Obchodná akadémia,Bratislavský,Bratislava-Ružinov,"OA - Bratislava, Nevädzová",Nevädzová 3,27.5
Stredná priemyselná škola,Bratislavský,Bratislava-Petržalka,"SPŠ elektrotechnická - Bratislava, Hálova",Hálova 16,23.2
Stredná odborná škola,Bratislavský,Bratislava-Petržalka,"SOŠ podnikania - Bratislava, Strečnianska",Strečnianska 20,15.5
Športové gymnázium,Bratislavský,Bratislava-Ružinov,"Športové Gymnázium - Bratislava, Ostredková",Ostredková 10,38
Gymnázium,Bratislavský,Bratislava-Staré Mesto,"Gymnázium - Bratislava, Vazovova",Vazovova 6,42.6
Gymnázium,Bratislavský,Bratislava-Karlova Ves,"Gymnázium - Bratislava, Ladislava Sáru",Ladislava Sáru 1,54.8
Gymnázium,Bratislavský,Bratislava-Ružinov,"Gymnázium - Bratislava, Ivana Horvátha",Ivana Horvátha 14,27.8
Gymnázium,Bratislavský,Bratislava-Rača,"Gymnázium - Bratislava, Hubeného",Hubeného 23,32.2
Gymnázium,Bratislavský,Bratislava-Staré Mesto,"Gymnázium s VJM - Bratislava, Dunajská",Dunajská 13,31.6
Gymnázium,Bratislavský,Bratislava-Pod. Biskupice,"Gymnázium F. G. Lorcu - Bratislava, Hronská",Hronská 3,41.3
Gymnázium,Bratislavský,Bratislava-Staré Mesto,"Gymnázium - Bratislava, Grösslingová",Grösslingová 18,30.8
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Drieňová",Drieňová 16,43.7
Tanečné konzervatórium,Bratislavský,Bratislava-Staré Mesto,"Tanečné  konz. - Bratislava, Gorazdova",Gorazdova 20,31.2
Stredná priemyselná škola,Bratislavský,Bratislava-Ružinov,"SPŠ dopravná - Bratislava, Kvačalova",Kvačalova 20,29.3
Škola úžitkového výtvarníctva,Bratislavský,Bratislava-Karlova Ves,"Škola úžit.výtvarníctva - Bratislava, Dúbravská c.",Dúbravská cesta 11,39.7
Odborné učilište,Bratislavský,Bratislava-Petržalka,"SŠ - OU - Bratislava, Švabinského",Švabinského 7,28.8
Stredná priemyselná škola,Bratislavský,Bratislava-Staré Mesto,"SPŠ elektrotechnická - Bratislava, Zochova",Zochova 9,32.3
Stredná pedagogická škola,Bratislavský,Bratislava-Dúbravka,"Pedag.a sociál.akadémia - Bratislava, Bullova",Bullova 2,25.4
Stredná priemyselná škola,Bratislavský,Bratislava-Staré Mesto,"SPŠ strojnícka - Bratislava, Fajnorovo nábrežie",Fajnorovo nábrežie 5,19.5
Stredná odborná škola,Bratislavský,Bratislava-Rača,"SOŠ  masmed.a inf. št. - Bratislava, Kadnárova",Kadnárova 7,15.6
Obchodná akadémia,Bratislavský,Bratislava-Nové Mesto,"OA - Bratislava, Račianska",Račianska 107,26.5
Obchodná akadémia,Bratislavský,Bratislava-Petržalka,"OA - Bratislava, Hrobákova",Hrobákova 11,35.1
Obchodná akadémia,Bratislavský,Bratislava-Petržalka,"OA - Bratislava, Dudova",Dudova 4,39.5
Gymnázium,Bratislavský,Bratislava-Petržalka,"Gymnázium - Bratislava, Pankúchova",Pankúchova 6,34.8
SOŠ pre telesne postihnutých,Bratislavský,Bratislava-Karlova Ves,"SŠ - OA preTP - Bratislava, Mokrohájska c.",Mokrohájska cesta 3,42.4
Základná škola,Bratislavský,Bratislava-Staré Mesto,"ZŠ - Bratislava, Jelenia",Jelenia 16,30.5
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Staré Mesto,"Materská škola - Bratislava, Šulekova",Šulekova 35,11.7
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Staré Mesto,"Materská škola - Bratislava, Timravina",Timravina 6,8
Gymnázium,Bratislavský,Bratislava-Dúbravka,"Súkr. Gymnázium - Bratislava, Batkova",Batkova 2,0
Stredná odborná škola,Bratislavský,Bratislava-Nové Mesto,"Súkr. SOŠ HOST - Bratislava, Riazanská",Riazanská 75,15.9
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Dúbravka,"Súkr. materská škola - Bratislava, Bazovského",Bazovského 2,16.3
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Rača,"Materská škola - Bratislava, Barónka",Barónka 17,5.5
Stredná odborná škola,Bratislavský,Bratislava-Pod. Biskupice,"Súkr. SOŠ - Bratislava, Bieloruská",Bieloruská 1,7.6
Základná škola,Bratislavský,Bratislava-Dúbravka,"SSŠ BIS - ZŠ - Bratislava, J.Valašťana-Dolinského",J. Valašťana-Dolinského 1,83.7
MŠ celodenná starostlivosť,Bratislavský,Senec,"Súkr. materská škola - Senec, m.č.Svätý Martin",m. č. Svätý Martin 3,3
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Vrakuňa,"Materská škola - Bratislava, Kríková",Kríková 20,19.4
Gymnázium,Bratislavský,Senec,"SŠ-Gym s VJM - Senec, Lichnerova",Lichnerova 71,12.5
Gymnázium,Bratislavský,Bratislava-Karlova Ves,"Súkr. Gymnázium - Bratislava, Majerníkova",Majerníkova 62,3.3
Základná škola,Bratislavský,Bratislava-Vajnory,"ZŠ s MŠ - Bratislava, Osloboditeľská",Osloboditeľská 1,18.3
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Dúbravka,"Súkr. MŠ - Bratislava, Pekníkova",Pekníkova 4,2
Stredná odborná škola,Bratislavský,Bratislava-Petržalka,"Súkr. SOŠ - Bratislava, Budatínska",Budatínska 61,10.7
Základná škola,Bratislavský,Bratislava-Lamač,"Súkr. ZŠ s MŠ - Bratislava, Borinská",Borinská 23,10.2
Stredná odborná škola,Bratislavský,Bratislava-Dúbravka,"Súkr. SOŠ veterinárna - Bratislava, Bullova",Bullova 2,15.5
Gymnázium,Bratislavský,Bratislava-Vrakuňa,"Súkr. Gymnázium - Bratislava, Vážska",Vážska 32,16
Gymnázium,Bratislavský,Bratislava-Staré Mesto,"Gymnázium Sv. Uršule - Bratislava, Nedbalova",Nedbalova 6,24.8
Základná škola,Bratislavský,Bratislava-Petržalka,"Cirk. ZŠ Narnia - Bratislava, Beňadická",Beňadická 38,42.1
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Nevädzová",Nevädzová 2,43.7
Základná škola,Bratislavský,Bratislava-Vrakuňa,"ZŠ - Bratislava, Železničná",Železničná 14,28.9
Stredná odborná škola,Bratislavský,Bratislava-Staré Mesto,"SOŠ elektr. Frassatiho - Bratislava, Vazovova",Vazovova 12,18.7
OU pre telesne postihnutých,Bratislavský,Bratislava-Karlova Ves,"OU - Bratislava, Dúbravská c.",Dúbravská cesta 1,42.6
Hud. a dram. konzervatórium,Bratislavský,Bratislava-Petržalka,"Cirk. konz. - Bratislava, Beňadická",Beňadická 16,44.4
Gymnázium,Bratislavský,Bratislava-Petržalka,"Súkr. Gymnázium Mercury - Bratislava, Zadunajská c.",Zadunajská cesta 27,19.8
MŠ celodenná starostlivosť,Bratislavský,Lozorno,"Materská škola - Lozorno, Orechová",Orechová 19,7.8
ZŠ pri zdravotníckom zariadení,Bratislavský,Častá,"SZŠ s MŠpri DO B. Skala - Častá, Biela Skala",Biela Skala 1,3
Gymnázium,Bratislavský,Bratislava-Petržalka,"Bilingválne Gymnázium - Bratislava, Beňadická",Beňadická 38,24.1
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Ružinov,"Materská škola - Bratislava, Velehradská",Velehradská 24,16.3
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Ružinov,"Materská škola - Bratislava, Stálicová",Stálicová 2,22.6
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Ružinov,"Materská škola - Bratislava, Pivonková",Pivonková 9,29.9
ZŠ I. stupeň,Bratislavský,Bratislava-Dúbravka,"Súkr. ZŠ - Bratislava, Batkova",Batkova 2,12.1
Stredná odborná škola,Bratislavský,Bratislava-Petržalka,"Súkr. SOŠ - Bratislava, Lachova",Lachova 1,0.6
Gymnázium,Bratislavský,Bratislava-Ružinov,"SŠ-Gymnázium - Bratislava, Bachova",Bachova 4,43.6
MŠ celodenná starostlivosť,Bratislavský,Rohožník,"Materská škola - Rohožník, Školská",Školská 408,12
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Pod. Biskupice,"Materská škola - Bratislava, Linzbothova",Linzbothova 18,34.5
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Dúbravka,"Cirk. materská škola - Bratislava, Bilíkova",Bilíkova 1,7.6
Gymnázium,Bratislavský,Bratislava-Nové Mesto,"Súkr. Gymnázium - Bratislava, Česká",Česká 10,27.7
MŠ celodenná starostlivosť,Bratislavský,Modra,"Materská škola - Modra,  SNP",Ul. SNP 14,26.6
Hud. a dram. konzervatórium,Bratislavský,Bratislava-Dúbravka,"Súkr. konz. AL - Bratislava, Batkova",Batkova 2,9.5
ZŠ I. stupeň,Bratislavský,Pernek,ZŠ s MŠ - Pernek,Pernek 285,2.1
Gymnázium,Bratislavský,Bratislava-Ružinov,"SŠ-Gymnázium - Bratislava, Tokajícka",Tokajícka 24,37.2
ZŠ pre nadané deti,Bratislavský,Bratislava-Petržalka,"Súkr. ZŠ pre intel.nad. - Bratislava, Znievska",Znievska 2,6.3
Stredná pedagogická škola,Bratislavský,Bratislava-Ružinov,"Súkr. ped. a soc. akad - Bratislava, Ružová Dolina",Ružová Dolina 29,4.5
Gymnázium,Bratislavský,Bratislava-Petržalka,"Súkr. Gymnázium - Bratislava, Kremnická",Kremnická 26,0.7
Základná škola,Bratislavský,Bratislava-Pod. Biskupice,"ZŠ - Bratislava, Podzáhradná",Podzáhradná 51,36
ZŠ pre žiakov s naruš.komun.i.,Bratislavský,Bratislava-Petržalka,"ZŠi - nar.kom.schop. - Bratislava, Vlast.nám.",Vlastenecké námestie 1,25.2
ZŠ pre sluchovo postihnutých i,Bratislavský,Bratislava-Staré Mesto,"ZŠ s MŠi so SP - Bratislava, Drotárska c.",Drotárska cesta 48,17.8
ZŠ pre zrakovo postihnutých i.,Bratislavský,Bratislava-Karlova Ves,"SŠ -  ZŠI zrak.postih. - Bratislava, Svrčia",Svrčia 6,20.6
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Ružová dolina",Ružová dolina 29,12.2
Základná škola,Bratislavský,Bratislava-Pod. Biskupice,"ZŠ s MŠ - VJM - Bratislava, Vetvárska",Vetvárska 7,8.6
Základná škola,Bratislavský,Bratislava-Pod. Biskupice,"ZŠ - Bratislava, Biskupická",Biskupická 21,14.7
Základná škola,Bratislavský,Bratislava-Karlova Ves,"SŠ - ZŠ - Bratislava, Tilgnerova",Tilgnerova 14,64.4
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ - Bratislava, Kalinčiakova",Kalinčiakova 12,17.2
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Prokofievova",Prokofievova 5,19.9
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Černyševského",Černyševského 8,27.8
Základná škola,Bratislavský,Bratislava-Jarovce,"ZŠ s MŠ - Bratislava, Trnková",Trnková 1,11.2
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Nobelovo nám.",Nobelovo námestie 6,18.9
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Tupolevova",Tupolevova 20,32.8
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Staré Mesto,"Materská škola - Bratislava, Partizánska",Partizánska 12,1
Základná škola,Bratislavský,Bratislava-Rača,"ZŠ - Bratislava, Tbiliská",Tbiliská 4,27.5
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ s MŠ - Bratislava, Riazanská",Riazanská 75,14.7
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ s MŠ - Bratislava, Za kasárňou",Za kasárňou 2,45.3
ZŠ pri zdravotníckom zariadení,Bratislavský,Bratislava-Nové Mesto,"ZŠ pri DFN - Bratislava, Limbová",Limbová 1,29.1
ŠZŠ pre telesne postihnutých,Bratislavský,Bratislava-Karlova Ves,"Špec. ZŠ pre TP - Bratislava, Dúbravská c.",Dúbravská cesta 1,26.5
Obchodná akadémia,Bratislavský,Bratislava-Petržalka,"OA AMOS - Bratislava, Holíčska",Holíčska 2,7.8
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Turnianska",Turnianska 10,28
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Gessayova",Gessayova 2,23.8
Základná škola,Bratislavský,Lozorno,"ZŠ - Lozorno, Staničná",Staničná 631,15.7
Základná škola,Bratislavský,Stupava,"ZŠ - Stupava, Školská",Školská 2,44.3
Základná škola,Bratislavský,Malacky,"ZŠ - Malacky, Záhorácka",Záhorácka 95,34.1
MŠ celodenná starostlivosť,Bratislavský,Ivanka pri Dunaji,"MŠ Kráľovnej Anjelov - Ivanka pri Dunaji, Nám.padlých hrd.",Nám. padlých hrdinov 30,2
Špeciálna základná škola,Bratislavský,Bratislava-Dúbravka,"SŠ - Špec. ZŠ - Bratislava, J.Valašťana-Dolinského",J. Valašťana-Dolinského 1,43.3
Hotelová akadémia,Bratislavský,Bratislava-Nové Mesto,"HA - Bratislava, Mikovíniho",Mikovíniho 1,63.1
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Lachova",Lachova 1,26.7
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Holíčska",Holíčska 50,22.6
Základná škola,Bratislavský,Bratislava-Karlova Ves,"ZŠ - Bratislava, Majerníkova",Majerníkova 62,33.1
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ s MŠ - Bratislava, Česká",Česká 10,17.8
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Dudova",Dudova 2,29.7
Špeciálna základná škola,Bratislavský,Bratislava-Ružinov,"Špec. ZŠ - Bratislava, Nevädzová",Nevädzová 3,16.1
Špeciálna základná škola,Bratislavský,Malacky,"SŠ - Špec. ZŠ - Malacky, Pribinova",Pribinova 16/1,22.9
Špeciálna základná škola,Bratislavský,Bratislava-Nové Mesto,"Špec. ZŠ - Bratislava, Hálkova",Hálkova 54,33.8
Základná škola,Bratislavský,Bratislava-Vrakuňa,"ZŠ - Bratislava, Rajčianska",Rajčianska 3,36.1
Základná škola,Bratislavský,Bratislava-Pod. Biskupice,"ZŠ - Bratislava, Bieloruská",Bieloruská 1,13.4
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Mierová",Mierová 46,36.1
Špeciálna základná škola,Bratislavský,Bratislava-Petržalka,"Špec. ZŠ s MŠ - Bratislava, Žehrianska",Žehrianska 9,26.8
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Medzilaborecká",Medzilaborecká 11,22.2
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Borodáčova",Borodáčova 2,13.9
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Kulíškova",Kulíškova 8,31.1
Základná škola,Bratislavský,Bratislava-Vrakuňa,"ZŠ - Bratislava, Žitavská",Žitavská 1,26.5
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Ostredková",Ostredková 14,39.1
Základná škola,Bratislavský,Bratislava-Ružinov,"ZŠ - Bratislava, Vrútocká",Vrútocká 58,25.5
Základná škola,Bratislavský,Bratislava-Dev. Nová Ves,"ZŠ - Bratislava, Ivana Bukovčana",Ivana Bukovčana 3,39.3
Špeciálna základná škola,Bratislavský,Bratislava-Staré Mesto,"Špec. ZŠ s MŠ - Bratislava, Karpatská",Karpatská 1,12.8
Základná škola,Bratislavský,Bratislava-Rusovce,"ZŠ s MŠ - Bratislava, Vývojová",Vývojová 228,17.5
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Pankúchova",Pankúchova 4,39.6
Základná škola,Bratislavský,Bratislava-Petržalka,"ZŠ - Bratislava, Budatínska",Budatínska 61,27.3
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ s MŠ - Bratislava, Odborárska",Odborárska 2,7.8
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ s MŠ - Bratislava, Cádrova",Cádrova 23,16.8
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ s MŠ - Bratislava, Sibírska",Sibírska 39,13.5
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Ružinov,"Materská škola - Bratislava, Prešovská",Prešovská 28,20
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Ružinov,"Materská škola - Bratislava, Miletičova",Miletičova 37,14
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Ružinov,"Materská škola - Bratislava, Bancíkovej",Bancíkovej 2,24.2
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Ružinov,"Materská škola - Bratislava, Piesočná",Piesočná 2,32.4
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Vrakuňa,"Materská škola - Bratislava, Kaméliová",Kaméliová 10,22.8
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Pod. Biskupice,"Materská škola - Bratislava, Estónska",Estónska 3,26
ZŠ pre nadané deti,Bratislavský,Bratislava-Nové Mesto,"Škola pre  mim.nad.deti - Bratislava, Teplická",Teplická 7,58.7
Hotelová akadémia,Bratislavský,Bratislava-Pod. Biskupice,"Súkr. HA - Bratislava, Biskupická",Biskupická 21,8.3
Základná škola,Bratislavský,Bratislava-Ružinov,"Súkr. ZŠ - Bratislava, Ružová dolina",Ružová dolina 29,3.4
Stredná umelecká škola,Bratislavský,Bratislava-Ružinov,"Súkr.str.umelecká škola - Bratislava, Ivanská c.",Ivanská cesta 21,25.7
Stredná zdravotnícka škola,Bratislavský,Bratislava-Petržalka,"SZŠ - Bratislava, Strečnianska",Strečnianska 20,24.5
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Petržalka,"Cirk. materská škola - Bratislava, Lachova",Lachova 33,8
Stredná odborná škola,Bratislavský,Bratislava-Ružinov,"SOŠ dopravná - Bratislava, Sklenárova",Sklenárova 9,26.1
Gymnázium,Bratislavský,Bratislava-Petržalka,"Bulharské Gymnázium - Bratislava, Záporožská",Záporožská 8,2.3
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Dev. Nová Ves,"Materská škola - Bratislava, Milana Marečka",Milana Marečka 20,26.4
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Dev. Nová Ves,"Materská škola - Bratislava, Pavla Horova",Pavla Horova 3,29.7
Základná škola,Bratislavský,Jakubov,ZŠ - Jakubov,Jakubov 276,12.4
Základná škola,Bratislavský,Kuchyňa,ZŠ s MŠ - Kuchyňa,Kuchyňa 551,12.1
Základná škola,Bratislavský,Plavecký Štvrtok,ZŠ - Plavecký Štvrtok,Plavecký Štvrtok 351,12.2
Základná škola,Bratislavský,Rohožník,ZŠ - Rohožník,Rohožník 399,20.6
Základná škola,Bratislavský,Sološnica,ZŠ - Sološnica,Sološnica 7,15.6
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Rača,"Materská škola - Bratislava, Tbiliská",Tbiliská 2,10.3
Základná škola,Bratislavský,Blatné,"ZŠ - Blatné, Šarfická",Šarfická 301,11.8
Základná škola,Bratislavský,Most pri Bratislave,"ZŠ - Most pri Bratislave, Športová",Športová 470,19.4
Základná škola,Bratislavský,Bratislava-Rača,"ZŠ s MŠ - Bratislava, Hubeného",Hubeného 25,28.9
MŠ celodenná starostlivosť,Bratislavský,Bratislava-Rača,"Materská škola - Bratislava, Cyprichova",Cyprichova 74,9.2
Základná škola,Bratislavský,Bratislava-Nové Mesto,"ZŠ s MŠ - Bratislava, Jeséniova",Jeséniova 54,18.2
Základná škola,Bratislavský,Budmerice,"ZŠ s MŠ - Budmerice,  J.Rašu",Ul. J. Rašu 430,17.2
Základná škola,Bratislavský,Bratislava-Staré Mesto,"ZŠ - Bratislava, Dubová",Dubová 1,17
Základná škola,Bratislavský,Bratislava-Staré Mesto,"ZŠ - Bratislava, Hlboká c.",Hlboká cesta 4,22.4
Základná škola,Bratislavský,Bratislava-Staré Mesto,"ZŠ s MŠ Milana Hodžu - Bratislava, Škarniclova",Škarniclova 1,22.3
Základná škola,Bratislavský,Bratislava-Staré Mesto,"ZŠ s MŠ - Bratislava, Grösslingová",Grösslingová 48,20.1
Základná škola,Bratislavský,Malacky,"ZŠ - Malacky, Gen.M.R.Štefánika",Gen. M. R. Štefánika 7,39.1
MŠ celodenná starostlivosť,Bratislavský,Gajary,"Materská škola - Gajary, Hlavná",Hlavná 88,6.4
Základná škola,Bratislavský,Gajary,"ZŠ - Gajary, Skuteckého",Skuteckého 438,16.3
MŠ celodenná starostlivosť,Bratislavský,Láb,Materská škola - Láb,Láb 223,6
Základná škola,Bratislavský,Láb,ZŠ - Láb,Láb 489,11.8
ZŠ I. stupeň,Bratislavský,Čataj,"ZŠ s MŠ - Čataj, Hlavná",Hlavná 113,3.8
MŠ celodenná starostlivosť,Bratislavský,Stupava,"Materská škola - Stupava, J.Kráľa",J. Kráľa 1592/1,12
MŠ celodenná starostlivosť,Bratislavský,Stupava,"Materská škola - Stupava, Hviezdoslavova",Hviezdoslavova 674,4
MŠ celodenná starostlivosť,Bratislavský,Stupava,"Materská škola - Stupava, Ružová",Ružová 7,10
MŠ celodenná starostlivosť,Bratislavský,Stupava,"Materská škola - Stupava, Marcheggská",Marcheggská 58,8
MŠ celodenná starostlivosť,Bratislavský,Plavecký Štvrtok,Materská škola - Plavecký Štvrtok,Plavecký Štvrtok 89,6
MŠ celodenná starostlivosť,Bratislavský,Dunajská Lužná,"Materská škola - Dunajská Lužná, Brezová",Brezová 787/27,17.3
Základná škola,Bratislavský,Modra,"ZŠ - Modra, Komenského",Komenského 1,24.7
MŠ celodenná starostlivosť,Bratislavský,Senec,"Materská škola - Senec, Fándlyho",Fándlyho 2,10.3
MŠ celodenná starostlivosť,Bratislavský,Senec,"Materská škola - Senec, Kysucká",Kysucká 9,14.8
MŠ celodenná starostlivosť,Bratislavský,Senec,"Materská škola - Senec, Fándlyho",Fándlyho 20,6
MŠ celodenná starostlivosť,Bratislavský,Senec,"Materská škola - Senec, Košická",Košická 40,7.3
MŠ celodenná starostlivosť,Bratislavský,Senec,"Materská škola - Senec, Kollárova",Kollárova 23,18
Základná škola,Bratislavský,Slovenský Grob,"ZŠ s MŠ - Slovenský Grob, Školská",Školská 11,14
Základná škola,Bratislavský,Báhoň,"ZŠ s MŠ - Báhoň,  1.mája",Ul. 1. mája 3,14.6
Základná škola,Bratislavský,Chorvátsky Grob,"ZŠ s MŠ - Chorvátsky Grob, Školská",Školská 4,6.3
Základná škola,Bratislavský,Studienka,ZŠ s MŠ - Studienka,Studienka 222,11.7
Základná škola,Bratislavský,Šenkvice,"ZŠ - Šenkvice, Vinohradská",Vinohradská 62,19.7
Základná škola,Bratislavský,Vištuk,ZŠ s MŠ - Vištuk,Vištuk 44,10.6
Základná škola,Bratislavský,Záhorská Ves,"ZŠ - Záhorská Ves, Hlavná",Hlavná 31,12.8
MŠ celodenná starostlivosť,Bratislavský,Svätý Jur,"Cirk. materská škola - Svätý Jur, Dr.Kautza",Dr. Kautza 4,4
Stredná odborná škola,Bratislavský,Malinovo,"SOŠ záhradnícka - Malinovo, Bratislavská",Bratislavská 44,13
ZŠ I. stupeň,Bratislavský,Doľany,"Cirk. ZŠ - Doľany, 128",128,2.4
Obchodná akadémia,Bratislavský,Pezinok,"OA - Pezinok, Myslenická",Myslenická 1,23.2
Základná škola,Bratislavský,Svätý Jur,"ZŠ - Svätý Jur, Kollárova",Kollárova 2,25.2
Špeciálna základná škola,Bratislavský,Pezinok,"SŠ - Špec. ZŠ - Pezinok, Komenského",Komenského 25,25.2
